Yt.3M,Yt.2M,Yt.1M,Code,Industry,MR,MR.PR,MR.Decile,TVC,TVC.PR,TVC.Decile,TRC,TRC.PR,TRC.Decile,BAB,BAB.PR,BAB.Decile,EV,EV.PR,EV.Decile,P/B,P/B.PR,P/B.Decile,PSR,PSR.PR,PSR.Decile,ROE,ROE.PR,ROE.Decile,ROA,ROA.PR,ROA.Decile,C/A,C/A.PR,C/A.Decile,D/A,D/A.PR,D/A.Decile,PG,PG.PR,PG.Decile,AG,AG.PR,AG.Decile
0.8519,0.4074,0.0593,1213 大飲,M1200 食品工業,-0.0014,0.3067,7,-0.1831,0.4107,6,-0.1873,0.4118,6,-0.1036,0.9781,1,"408,815,367",1,1,2.03,0.4151,6,12.2591,0.3319,7,-11.42,0.0066,10,-2.67,0.0219,10,0.0028,0.0033,10,75.19,0.08,10,-0.2766,0.2125,8,-0.2086,0.0131,10
-0.0282,0.0112,0.0282,1215 卜蜂,M1200 食品工業,0.1129,0.6254,4,-0.0893,0.4743,6,-0.1309,0.4469,6,0.3576,0.6123,4,"29,880,454,955",0.2541,8,3.32,0.1698,9,4.3229,0.7481,3,3.58,0.7634,3,1.52,0.6594,4,0.0122,0.0329,10,61.63,0.184,9,-0.126,0.2673,8,0.0775,0.6835,4
0.0514,0.0826,0.0225,1216 統一,M1200 食品工業,0.0762,0.5367,5,-0.1758,0.4173,6,-0.1815,0.4173,6,0.296,0.6944,4,"433,376,407,384",0.0186,10,3.29,0.1742,9,2.7298,0.8905,2,4.12,0.8028,2,1.36,0.6112,4,0.1441,0.483,6,69.11,0.1249,9,0.1065,0.4217,6,0.2324,0.9157,1
-0.0364,0.0243,-0.0162,1217 愛之味,M1200 食品工業,0.0536,0.4841,6,0.2619,0.6298,4,0.2428,0.6495,4,0.1518,0.8598,2,"6,082,514,033",0.6539,4,0.84,0.9113,1,5.2473,0.69,4,1.09,0.379,7,0.77,0.4304,6,0.0409,0.149,9,45.87,0.4611,6,0.2018,0.4633,6,0.0273,0.4666,6
-0.0676,-0.0405,0,1218 泰山,M1200 食品工業,0.0754,0.5345,5,-0.2432,0.3746,7,-0.2381,0.3768,7,0.1953,0.8105,2,"11,049,978,740",0.471,6,0.9,0.8894,2,4.0082,0.7788,3,1.28,0.4085,6,1.13,0.5378,5,0.152,0.5203,5,11.88,0.9562,1,3.2223,0.9025,1,-0.0744,0.1095,9
-0.0363,0.0221,-0.0105,1219 福壽,M1200 食品工業,0.0026,0.3231,7,-0.1586,0.4261,6,-0.1715,0.425,6,0.0828,0.9168,1,"6,149,833,199",0.6484,4,1.35,0.6605,4,1.7222,0.9551,1,0.71,0.3209,7,0.49,0.3483,7,0.0903,0.3209,7,52.99,0.3363,7,-0.2113,0.23,8,0.0396,0.5225,5
0.0388,-0.0029,-0.0437,1220 台榮,M1200 食品工業,0.1511,0.7087,3,1.0939,0.8083,2,0.8978,0.8083,2,0.2165,0.7875,3,"2,761,512,829",0.8565,2,1.14,0.7678,3,3.6081,0.8083,2,2.27,0.5794,5,1.84,0.7273,3,0.1685,0.5761,5,18.86,0.9014,2,8.5576,0.9606,1,0.0692,0.6583,4
1.2609,0.8768,0.3391,1225 福懋油,M1200 食品工業,0.2455,0.8258,2,3.4236,0.9244,1,2.8101,0.9266,1,0.2131,0.7919,3,"15,593,421,496",0.3866,7,3.61,0.1457,9,4.6632,0.7327,3,2.03,0.5411,5,1.12,0.5367,5,0.0972,0.3483,7,50.98,0.3658,7,0.1,0.4184,6,-0.0368,0.2103,8
-0.0218,0,0.042,1227 佳格,M1200 食品工業,0.0704,0.5203,5,0.4104,0.6835,4,0.3722,0.6966,4,0.1465,0.8686,2,"35,746,876,765",0.2081,8,1.93,0.437,6,5.2601,0.6889,4,2.77,0.6572,4,1.96,0.7481,3,0.13,0.4304,6,29.62,0.7568,3,0.8137,0.667,4,0.0194,0.4326,6
-0.0038,0.0444,-0.0089,1229 聯華,M1200 食品工業,0.0305,0.4217,6,-0.3546,0.2892,8,-0.3512,0.2859,8,0.3099,0.6747,4,"104,923,101,049",0.103,10,2.24,0.3461,7,34.3954,0.0876,10,1.78,0.4907,6,1.43,0.6243,4,0.0492,0.1752,9,21.96,0.8653,2,0.0088,0.3428,7,0.2449,0.9255,1
0.2825,0.1803,0.0689,1231 聯華食,M1200 食品工業,0.1237,0.6462,4,-0.3752,0.2793,8,-0.4049,0.2355,8,0.1672,0.8401,2,"23,866,698,928",0.2903,8,3.94,0.1205,9,8.2144,0.4874,6,4.89,0.8675,2,2.24,0.7875,3,0.0693,0.2508,8,55.52,0.2881,8,0.2468,0.4808,6,0.2416,0.9233,1
0.0648,0.0103,-0.0069,1232 大統益,M1200 食品工業,0.0284,0.4118,6,-0.1141,0.4513,6,-0.1191,0.4545,6,0.0498,0.9387,1,"22,158,413,431",0.299,8,4.14,0.1139,9,3.9383,0.7831,3,5.17,0.8894,2,3.63,0.9441,1,0.341,0.9069,1,29.63,0.7558,3,-0.1868,0.2388,8,0.0974,0.7492,3
