,Industry,MR,MR.PR,MR.Decile,TVC,TVC.PR,TVC.Decile,TRC,TRC.PR,TRC.Decile,BAB,BAB.PR,BAB.Decile,EV,EV.PR,EV.Decile,P/B,P/B.PR,P/B.Decile,PSR,PSR.PR,PSR.Decile,ROE,ROE.PR,ROE.Decile,ROA,ROA.PR,ROA.Decile,C/A,C/A.PR,C/A.Decile,D/A,D/A.PR,D/A.Decile,PG,PG.PR,PG.Decile,AG,AG.PR,AG.Decile
417,22,0.4266,0.9288,1,10.2229,0.9814,1,8.01,0.9858,1,0.3905,0.5696,5,4449379055.0,0.7481,3,1.06,0.8105,2,5.7881,0.6407,4,0.65,0.3078,7,0.44,0.3275,7,0.0628,0.2245,8,69.27,0.1205,9,1.6633,0.8105,2,-0.0194,0.2683,8
29,2,-0.1007,0.103,10,0.1162,0.5794,5,0.1694,0.6156,4,0.3709,0.5936,5,10430379313.0,0.4929,6,1.11,0.7875,3,3.5911,0.8116,2,-0.41,0.1566,9,-0.14,0.1512,9,0.0811,0.2892,8,44.0,0.5038,5,-1.1363,0.0756,10,0.0649,0.6331,4
55,3,0.0519,0.4797,6,3.9639,0.931,1,3.4954,0.9452,1,0.2678,0.7251,3,13944688525.0,0.4129,6,0.99,0.8478,2,16.1842,0.2355,8,0.67,0.3133,7,0.53,0.3571,7,0.0575,0.2048,8,27.74,0.7766,3,-0.0073,0.3308,7,0.1396,0.8324,2
429,23,0.0598,0.5038,5,1.0955,0.8094,2,1.0374,0.8269,2,0.241,0.7558,3,5856646389.0,0.6648,4,0.67,0.9693,1,77.3042,0.0329,10,0.31,0.241,8,0.27,0.2662,8,0.0325,0.1183,9,13.61,0.9441,1,0.0789,0.4009,7,0.0433,0.5367,5
300,13,-0.1654,0.0438,10,-0.0308,0.5016,6,-0.0245,0.5235,5,1.0369,0.0843,10,62999090894.0,0.1402,9,4.52,0.0986,10,29.1314,0.1117,9,0.67,0.3111,7,0.47,0.3428,7,0.4492,0.9693,1,36.61,0.6473,4,1.9309,0.8368,2,-0.0566,0.1479,9
605,13,0.3542,0.8992,2,4.7228,0.9496,1,3.3651,0.9419,1,0.4239,0.5356,5,1403685415.0,0.9617,1,1.61,0.5498,5,64.4957,0.0438,10,0.06,0.2081,8,0.06,0.1818,9,0.0288,0.1019,10,1.5,0.9967,1,1.0462,0.7152,3,-0.0225,0.2574,8
260,13,0.2094,0.7919,3,-0.1033,0.46,6,-0.1564,0.4304,6,1.662,0.0044,10,21394800557809.0,0.0022,10,5.56,0.0504,10,36.1006,0.0811,10,6.3,0.9365,1,4.02,0.9628,1,0.2934,0.8554,2,36.67,0.6451,4,0.0894,0.4096,6,0.1471,0.8434,2
197,10,0.5433,0.9584,1,4.5087,0.9441,1,3.0237,0.9343,1,0.8314,0.1555,9,17315807245.0,0.3571,7,1.74,0.4984,6,26.5902,0.1249,9,0.01,0.1993,9,0.07,0.184,9,0.0057,0.012,10,20.89,0.8784,2,-0.7946,0.1161,9,0.456,0.9781,1
378,16,-0.1368,0.0635,10,-0.3164,0.3242,7,-0.2474,0.3724,7,0.7328,0.2245,8,35557026561.0,0.2114,8,1.69,0.5181,5,59.7667,0.0504,10,-3.91,0.0372,10,-1.83,0.0372,10,0.2278,0.7306,3,49.96,0.3855,7,-0.3163,0.195,9,-0.0079,0.3034,8
82,3,0.1006,0.6002,5,-0.3563,0.2881,8,-0.4034,0.2377,8,0.341,0.6298,4,3347735716.0,0.8215,2,1.37,0.6484,4,41.8462,0.069,10,0.62,0.3045,7,0.55,0.3636,7,0.0695,0.2519,8,18.36,0.9058,1,-0.5439,0.1446,9,0.0347,0.5115,5
818,17,-0.1099,0.0953,10,0.4429,0.69,4,0.5735,0.7393,3,1.2489,0.0383,10,45182851401.0,0.1774,9,12.08,0.0066,10,26.411,0.1271,9,4.93,0.8719,2,2.43,0.8171,2,0.6409,0.9956,1,53.55,0.3275,7,1.9398,0.8379,2,0.7545,0.9978,1
651,6,0.0951,0.5827,5,-0.7283,0.0559,10,-0.7249,0.0438,10,0.5987,0.3253,7,14169928365.0,0.4085,6,3.64,0.1435,9,12.518,0.3275,7,2.49,0.6188,4,1.5,0.6539,4,0.0596,0.2136,8,43.71,0.506,5,0.1577,0.4436,6,0.0515,0.5685,5
676,13,0.0291,0.4151,6,0.1767,0.6024,5,0.1602,0.6112,4,0.3406,0.6309,4,11871691045.0,0.4491,6,6.36,0.0361,10,42.6887,0.0668,10,3.28,0.7185,3,2.59,0.8423,2,0.2118,0.69,4,27.17,0.7886,3,0.5466,0.5816,5,0.1859,0.8861,2
886,30,0.0461,0.46,6,0.7352,0.7536,3,0.7094,0.7798,3,0.2038,0.8072,2,7301115137.0,0.6002,5,2.39,0.3034,8,10.8359,0.3735,7,5.76,0.9146,1,3.1,0.9058,1,0.0859,0.3034,8,47.34,0.4381,6,0.2042,0.4644,6,0.0558,0.5893,5
797,27,-0.2899,0.0088,10,-0.3499,0.2924,8,-0.2296,0.3823,7,0.9261,0.1084,9,6113451600.0,0.6517,4,2.56,0.2705,8,2.2544,0.9266,1,0.52,0.2826,8,0.29,0.2793,8,0.2606,0.7974,3,49.06,0.3998,7,0.3024,0.4973,6,0.0889,0.724,3
205,10,0.1086,0.6166,4,0.3766,0.6736,4,0.2323,0.6451,4,0.5623,0.3647,7,4057515090.0,0.7766,3,1.06,0.8127,2,2.0241,0.9387,1,0.75,0.3253,7,0.73,0.4184,6,0.1315,0.4392,6,25.83,0.8116,2,-0.2825,0.2092,8,-0.0065,0.3122,7
552,17,0.0591,0.4995,6,0.0804,0.5608,5,0.0101,0.5444,5,0.911,0.1128,9,2253679685.0,0.9014,2,1.92,0.4425,6,5.8259,0.6364,4,0.33,0.2497,8,0.38,0.31,7,0.2838,0.8467,2,44.8,0.4874,6,1.0859,0.7218,3,-0.0533,0.1566,9
740,20,0.775,0.9825,1,5.1324,0.9551,1,3.5745,0.9474,1,0.8423,0.1512,9,4116162793.0,0.7711,3,1.98,0.4239,6,14.1927,0.2881,8,1.98,0.5257,5,1.58,0.6791,4,0.2608,0.7985,3,24.18,0.8291,2,0.0727,0.3965,7,-0.0066,0.3111,7
295,14,0.0134,0.3538,7,-0.4937,0.1939,9,-0.4738,0.1906,9,0.1575,0.8521,2,1475151771.0,0.9584,1,1.73,0.5115,5,1.8357,0.9452,1,0.31,0.2432,8,0.34,0.2946,8,0.1695,0.5794,5,66.62,0.1413,9,1.0645,0.7185,3,-0.0348,0.2191,8
463,24,0.1796,0.7558,3,0.0202,0.5323,5,-0.0386,0.517,5,0.7151,0.2388,8,390984507899.0,0.023,10,1.29,0.6802,4,12.606,0.3264,7,3.16,0.6988,4,0.29,0.2738,8,0.0232,0.0723,10,90.92,0.0274,10,0.5999,0.6068,4,0.1385,0.8302,2
545,4,-0.1075,0.0975,10,0.9176,0.7886,3,0.8235,0.7952,3,0.7369,0.2191,8,4871906854.0,0.7229,3,2.33,0.3176,7,12.2161,0.3341,7,-0.76,0.1303,9,-0.28,0.1303,9,0.1073,0.3746,7,49.41,0.3932,7,0.3029,0.4995,6,-0.046,0.1785,9
854,4,-0.0276,0.2399,8,0.0678,0.5542,5,0.0557,0.5652,5,0.5788,0.3461,7,3115321534.0,0.8335,2,3.75,0.1358,9,16.5153,0.2333,8,3.55,0.7623,3,2.05,0.7612,3,0.157,0.5356,5,45.88,0.4589,6,4.5357,0.9354,1,0.1365,0.8237,2
846,14,0.0568,0.4929,6,-0.6914,0.069,10,-0.6713,0.0679,10,0.4999,0.4436,6,12682110114.0,0.4326,6,2.31,0.3242,7,5.7231,0.644,4,2.81,0.6616,4,1.47,0.6451,4,0.1993,0.6583,4,56.65,0.2651,8,0.2234,0.471,6,0.0163,0.4228,6
441,23,0.024,0.3976,7,-0.0199,0.5104,5,-0.0412,0.5137,5,0.2463,0.7492,3,10873065798.0,0.4775,6,3.49,0.1577,9,5.6413,0.6506,4,4.75,0.8631,2,2.74,0.8598,2,0.1292,0.4283,6,45.18,0.4808,6,0.1825,0.4535,6,0.0746,0.6769,4
765,20,0.1748,0.7525,3,0.1965,0.609,4,0.0745,0.5783,5,0.9947,0.0964,10,9568713169.0,0.5203,5,2.25,0.3439,7,7.5149,0.5279,5,3.32,0.7295,3,1.77,0.7152,3,0.2722,0.8291,2,48.91,0.4009,7,-0.2225,0.2256,8,0.0056,0.3724,7
405,21,0.6038,0.9704,1,3.1675,0.9157,1,1.9554,0.8872,2,0.526,0.414,6,40675008589.0,0.1906,9,1.84,0.4688,6,5613.4431,0.0066,10,-0.38,0.1588,9,-0.12,0.1522,9,0.0198,0.0602,10,57.3,0.253,8,-1.0634,0.08,10,0.0519,0.5706,5
59,31,-0.018,0.2607,8,-0.6811,0.0745,10,-0.682,0.0635,10,0.2331,0.7678,3,6849224900.0,0.6166,4,5.27,0.0657,10,2584.6132,0.0088,10,-0.34,0.1676,9,-0.3,0.1281,9,0.0892,0.3187,7,12.19,0.9518,1,-0.5603,0.138,9,0.2593,0.9321,1
322,20,0.0884,0.5674,5,0.8829,0.7842,3,0.7419,0.7853,3,0.3943,0.5652,5,5678151718.0,0.6758,4,2.34,0.3154,7,8.747,0.4644,6,3.3,0.724,3,2.33,0.8018,3,0.122,0.4129,6,32.19,0.7185,3,0.066,0.391,7,-0.0047,0.3242,7
810,13,-0.0818,0.1271,9,0.469,0.7021,4,0.6295,0.7601,3,0.8423,0.1501,9,103363045297.0,0.1051,9,1.14,0.7634,3,9.5529,0.4272,6,-0.47,0.149,9,-0.11,0.1555,9,0.1235,0.4184,6,48.54,0.4053,6,-3.3516,0.0296,10,0.079,0.6889,4
781,20,-0.0123,0.2782,8,-0.4007,0.2497,8,-0.363,0.2738,8,0.2313,0.77,3,2260311888.0,0.9003,2,1.41,0.6331,4,8.7572,0.4633,6,0.13,0.2245,8,0.13,0.2059,8,0.2417,0.7623,3,20.25,0.8861,2,1.043,0.7141,3,-0.1226,0.0504,10
706,19,-0.1968,0.0274,10,-0.5563,0.1522,9,-0.4874,0.184,9,0.5923,0.333,7,10786960932.0,0.4797,6,2.99,0.2059,8,2.2712,0.9255,1,2.66,0.6407,4,1.29,0.5827,5,0.0916,0.3275,7,59.22,0.218,8,-0.1285,0.2651,8,0.1242,0.8094,2
644,20,0.4426,0.9332,1,0.0755,0.5575,5,-0.0818,0.4841,6,0.6834,0.2563,8,4117219360.0,0.77,3,4.82,0.0865,10,16.8831,0.2278,8,3.42,0.7492,3,1.51,0.6572,4,0.2024,0.667,4,57.15,0.2552,8,0.0,0.3373,7,0.5186,0.9825,1
301,20,-0.113,0.0909,10,-0.5271,0.1763,9,-0.4888,0.1818,9,0.724,0.2289,8,2494421774.0,0.8795,2,1.04,0.8193,2,15.9042,0.2508,8,-5.26,0.023,10,-4.45,0.011,10,0.1688,0.5772,5,13.98,0.9419,1,-0.5383,0.1468,9,-0.0484,0.1698,9
7,1,0.0242,0.3987,7,-0.0482,0.4929,6,-0.0448,0.5115,5,0.159,0.8478,2,9501887617.0,0.5235,5,1.29,0.6846,4,1.7812,0.9485,1,1.79,0.4918,6,0.89,0.4677,6,0.0705,0.2541,8,58.41,0.2267,8,0.0276,0.3658,7,-0.0503,0.1621,9
245,13,-0.0303,0.2278,8,-0.7057,0.0646,10,-0.6739,0.0668,10,0.4019,0.5608,5,2878403525.0,0.8499,2,1.66,0.5323,5,19.7236,0.1873,9,1.04,0.3724,7,0.78,0.4348,6,0.2448,0.7667,3,25.93,0.8083,2,0.7232,0.6451,4,0.1063,0.7766,3
156,7,0.0149,0.3625,7,-0.0247,0.5049,5,0.0038,0.54,5,0.3758,0.5871,5,11710365713.0,0.4545,6,2.24,0.3505,7,7.2584,0.5487,5,4.28,0.8171,2,3.08,0.9025,1,0.1634,0.5619,5,30.45,0.747,3,0.1978,0.4589,6,0.052,0.5717,5
361,20,0.1305,0.667,4,0.2482,0.6243,4,0.1701,0.6166,4,0.3105,0.6736,4,3441039395.0,0.8138,2,0.8,0.9288,1,8.0173,0.4984,6,0.55,0.2881,8,0.4,0.3154,7,0.1516,0.5159,5,44.98,0.4852,6,1.2325,0.7459,3,0.0269,0.4633,6
690,21,0.36,0.9036,1,0.4651,0.6999,4,0.1633,0.6123,4,0.2104,0.7985,3,5225010497.0,0.6988,4,1.01,0.8401,2,4.4952,0.7404,3,4.35,0.8237,2,2.63,0.8488,2,0.198,0.655,4,39.25,0.6002,5,1.744,0.816,2,0.1235,0.8083,2
102,4,0.0568,0.494,6,0.3844,0.6758,4,0.3632,0.6911,4,0.8889,0.1271,9,8219098141.0,0.5564,5,2.35,0.3122,7,3.7582,0.7963,3,6.34,0.9387,1,2.7,0.8554,2,0.3972,0.943,1,58.05,0.2366,8,4.1966,0.9255,1,0.2925,0.9463,1
200,10,0.1257,0.6561,4,0.7457,0.759,3,0.6234,0.7547,3,0.8542,0.1446,9,11439360000.0,0.4622,6,2.34,0.3165,7,2.4629,0.9113,1,2.18,0.5663,5,0.9,0.4732,6,0.0034,0.0066,10,64.51,0.1555,9,0.2212,0.4688,6,0.1671,0.8675,2
697,21,0.5987,0.9693,1,8.3003,0.9759,1,5.4423,0.9639,1,0.2609,0.7317,3,33734831379.0,0.218,8,1.28,0.6867,4,61.9996,0.0482,10,0.43,0.2673,8,0.2,0.2355,8,0.0318,0.1161,9,55.53,0.287,8,-0.3974,0.1752,9,-0.0278,0.2366,8
358,17,0.0804,0.5465,5,1.1692,0.8226,2,1.0249,0.8237,2,0.698,0.2475,8,12396269639.0,0.4414,6,1.58,0.5597,5,5.6611,0.6495,4,3.32,0.7306,3,2.46,0.8226,2,0.1866,0.6309,4,27.39,0.7831,3,0.4165,0.5334,5,0.0428,0.5345,5
310,14,0.0826,0.5553,5,-0.6232,0.115,9,-0.6052,0.1073,9,0.6723,0.2629,8,6700232339.0,0.6199,4,1.75,0.4962,6,15.1384,0.2673,8,0.59,0.2979,8,0.54,0.3604,7,0.2452,0.7678,3,15.03,0.9299,1,4.466,0.9321,1,0.0444,0.5389,5
391,21,0.195,0.7766,3,0.7395,0.7558,3,0.4396,0.7097,3,-0.056,0.9715,1,18450630456.0,0.3428,7,3.48,0.1588,9,188271.7393,0.0044,10,-0.77,0.1281,9,-0.14,0.1501,9,0.0051,0.0077,10,77.91,0.0613,10,-1.1186,0.0767,10,0.2243,0.9102,1
261,14,0.1334,0.6846,4,0.2895,0.6375,4,0.2515,0.6528,4,1.0114,0.0931,10,18086722986.0,0.3461,7,1.4,0.6386,4,5.2286,0.6922,4,0.34,0.2508,8,0.2,0.2377,8,0.1553,0.5279,5,48.4,0.4074,6,6.8833,0.9529,1,0.1018,0.7667,3
434,23,0.1663,0.7371,3,0.4775,0.7054,3,0.3721,0.6955,4,0.5303,0.4064,6,29267339380.0,0.2607,8,7.89,0.0197,10,16.7524,0.23,8,9.95,0.9847,1,4.26,0.9682,1,0.0445,0.1632,9,62.75,0.1752,9,0.1746,0.4502,6,0.0249,0.4556,6
317,17,-0.0404,0.2037,9,-0.3347,0.3089,7,-0.32,0.3078,7,0.4265,0.5334,5,2461500000.0,0.885,2,1.68,0.5257,5,4.1306,0.7645,3,1.12,0.3866,7,0.46,0.3352,7,0.0502,0.1785,9,67.07,0.1369,9,2.3672,0.8664,2,0.0311,0.4929,6
328,15,-0.0652,0.1621,9,-0.7623,0.034,10,-0.7444,0.0329,10,0.1243,0.8872,2,1239758550.0,0.9726,1,3.89,0.1238,9,20.7592,0.1742,9,-6.04,0.0197,10,-3.07,0.0175,10,0.1218,0.4118,6,40.7,0.5674,5,0.1912,0.4556,6,-0.5504,0.0022,10
2,0,0.0167,0.3702,7,0.8784,0.7831,3,0.8106,0.793,3,0.2338,0.7656,3,14034320723.0,0.4107,6,0.66,0.9704,1,20.0736,0.184,9,-0.2,0.1807,9,-0.01,0.1687,9,0.0658,0.2377,8,39.37,0.5958,5,-2.9356,0.0329,10,-0.0477,0.1709,9
469,24,0.2993,0.8686,2,0.3986,0.6802,4,0.2691,0.6594,4,0.8967,0.1183,9,710172909679.0,0.011,10,1.38,0.644,4,14.6388,0.2771,8,4.42,0.8302,2,0.25,0.2563,8,0.0128,0.0361,10,94.11,0.011,10,0.6143,0.6112,4,0.0653,0.6364,4
517,31,-0.0255,0.2464,8,1.8154,0.8565,2,1.8639,0.8817,2,0.1111,0.8992,2,1870432200.0,0.9277,1,1.26,0.6944,4,58.3307,0.0526,10,0.68,0.3143,7,0.63,0.3855,7,0.0908,0.3231,7,8.05,0.9814,1,0.3863,0.5257,5,-0.002,0.3373,7
817,13,-0.1932,0.0296,10,-0.8792,0.0055,10,-0.8449,0.0055,10,0.8038,0.1709,9,5931640965.0,0.6605,4,5.46,0.0548,10,26.6928,0.1238,9,2.93,0.6758,4,2.45,0.8204,2,0.1528,0.5235,5,19.87,0.8905,2,0.0187,0.3549,7,0.0625,0.6243,4
852,17,-0.0439,0.1972,9,0.3989,0.6813,4,0.4487,0.713,3,0.3497,0.6243,4,10364202591.0,0.4962,6,0.78,0.9398,1,2.4828,0.9069,1,0.64,0.3067,7,0.49,0.3494,7,0.367,0.9266,1,46.15,0.4513,6,-0.3434,0.1895,9,0.0309,0.4918,6
159,6,0.0,0.3078,7,-0.5242,0.1785,9,-0.5026,0.172,9,0.1489,0.8653,2,25759998156.0,0.2793,8,3.41,0.1643,9,14.8967,0.2727,8,3.34,0.736,3,2.53,0.8291,2,0.0624,0.2234,8,22.74,0.8499,2,-0.1489,0.2596,8,-0.0247,0.2475,8
527,15,0.211,0.7941,3,-0.5861,0.1402,9,-0.6007,0.1128,9,0.6264,0.3012,8,3174128031.0,0.828,2,1.46,0.6068,4,10.3562,0.3954,7,2.32,0.5926,5,1.42,0.6221,4,0.208,0.6791,4,46.09,0.4524,6,1.1566,0.7317,3,0.0578,0.6002,5
848,13,-0.0046,0.3001,8,-0.5359,0.1665,9,-0.5205,0.1643,9,0.7854,0.1818,9,30334640136.0,0.2486,8,1.44,0.6177,4,5.5981,0.6539,4,1.75,0.4863,6,1.07,0.5268,5,0.267,0.8193,2,44.51,0.4929,6,1.1635,0.7349,3,-0.0032,0.3319,7
573,15,-0.1226,0.0756,10,0.0257,0.5356,5,0.1154,0.5947,5,0.67,0.2673,8,113282823640.0,0.0975,10,0.6,0.9836,1,2.2436,0.9277,1,-1.79,0.0832,10,-1.09,0.0679,10,0.1314,0.4381,6,34.76,0.6813,4,0.4717,0.5553,5,-0.141,0.0394,10
584,15,-0.1595,0.0526,10,-0.56,0.1501,9,-0.5251,0.1632,9,0.2113,0.7963,3,2004145170.0,0.9211,1,0.76,0.9463,1,2.6382,0.9003,2,-0.88,0.1238,9,-0.57,0.0942,10,0.2732,0.8324,2,31.52,0.7327,3,-0.7135,0.1249,9,-0.0234,0.2541,8
445,24,0.0382,0.4403,6,-0.3067,0.3297,7,-0.2985,0.3297,7,0.2524,0.7404,3,7591491600.0,0.5827,5,1.02,0.8346,2,2.7394,0.8894,2,6.41,0.9419,1,1.98,0.7525,3,0.1583,0.5444,5,68.91,0.126,9,1.0323,0.7108,3,0.094,0.7371,3
590,13,0.3142,0.8773,2,-0.0003,0.5235,5,-0.1884,0.4085,6,1.1593,0.0559,10,25414518050.0,0.2815,8,6.02,0.0416,10,11.3229,0.3604,7,5.23,0.8949,2,1.08,0.529,5,0.2404,0.7579,3,79.72,0.0581,10,0.4413,0.5465,5,0.3068,0.9507,1
449,24,0.0,0.31,7,-0.4123,0.2388,8,-0.4194,0.218,8,0.1894,0.816,2,20244288781.0,0.3176,7,0.85,0.9069,1,20.7071,0.1763,9,0.8,0.3319,7,0.05,0.1785,9,0.0156,0.0438,10,92.48,0.0197,10,-0.1914,0.2377,8,0.1528,0.8488,2
532,21,0.1747,0.7514,3,2.4871,0.8894,2,2.0315,0.8916,2,0.486,0.4622,6,11149055184.0,0.4699,6,1.44,0.6156,4,311.2783,0.0164,10,-0.7,0.1358,9,-0.19,0.1457,9,0.1511,0.5126,5,71.28,0.1051,9,-4.3982,0.023,10,0.1178,0.8007,3
614,13,0.1144,0.6287,4,-0.1997,0.402,7,-0.1869,0.4129,6,1.2751,0.034,10,646463499099.0,0.0131,10,2.43,0.299,8,4.8678,0.7119,3,1.89,0.5093,5,1.07,0.5235,5,0.1102,0.3823,7,54.19,0.3154,7,-0.0233,0.3209,7,0.0089,0.3943,7
366,17,0.032,0.4261,6,-0.1231,0.4447,6,-0.1384,0.4403,6,0.2865,0.7054,3,2592897967.0,0.8708,2,1.01,0.839,2,6.1866,0.6068,4,0.55,0.2892,8,0.43,0.3242,7,0.1357,0.448,6,39.82,0.5838,5,4.4798,0.9343,1,-0.0536,0.1544,9
369,15,0.5816,0.965,1,1.1085,0.8127,2,0.5497,0.7338,3,0.7987,0.1752,9,18119179505.0,0.345,7,3.09,0.1961,9,15.454,0.2618,8,-0.11,0.1884,9,0.07,0.1873,9,0.2248,0.7273,3,43.48,0.5126,5,-1.3703,0.0679,10,0.0528,0.5783,5
876,28,0.259,0.8346,2,0.0313,0.54,5,-0.0563,0.5049,5,0.7152,0.2377,8,109769591757.0,0.1019,10,0.78,0.9409,1,1.7347,0.954,1,3.11,0.6944,4,2.1,0.7667,3,0.1358,0.4491,6,38.06,0.6166,4,3.6932,0.9179,1,0.0672,0.644,4
425,22,0.1321,0.6747,4,2.389,0.8861,2,2.0127,0.8894,2,0.6155,0.3089,7,51037611909.0,0.1632,9,2.76,0.2399,8,4.826,0.7163,3,4.59,0.8488,2,1.9,0.7349,3,0.0307,0.1106,9,59.59,0.2114,8,0.4791,0.5575,5,-0.0056,0.3165,7
666,15,0.0593,0.5005,6,0.1705,0.5991,5,0.1788,0.6188,4,0.7712,0.1928,9,8175387048.0,0.5575,5,0.81,0.9233,1,4.2843,0.7536,3,0.04,0.2059,8,0.17,0.2234,8,0.3092,0.874,2,36.65,0.6462,4,1.0178,0.7054,3,-0.0539,0.1533,9
213,10,0.0478,0.4655,6,-0.4414,0.2158,8,-0.4185,0.2191,8,0.5287,0.4107,6,18795539212.0,0.3341,7,1.66,0.5345,5,5.4226,0.6725,4,6.18,0.9332,1,2.87,0.885,2,0.0439,0.1621,9,57.06,0.2574,8,0.6767,0.6298,4,0.1591,0.8565,2
80,3,0.183,0.7612,3,5.0767,0.954,1,4.1782,0.9562,1,-0.1935,0.9858,1,4034575204.0,0.7798,3,1.25,0.701,4,10.8528,0.3724,7,0.13,0.2256,8,0.33,0.2935,8,0.1474,0.4984,6,39.98,0.5816,5,1.4295,0.7809,3,-0.0578,0.1424,9
149,6,-0.0665,0.1566,9,-0.3274,0.31,7,-0.2759,0.3505,7,0.5147,0.4315,6,15363316171.0,0.3899,7,1.32,0.6725,4,2.9803,0.8675,2,-0.35,0.1665,9,0.05,0.1796,9,0.0499,0.1774,9,54.83,0.3034,8,-0.963,0.0931,10,-0.0715,0.115,9
267,13,-0.0323,0.2223,8,-0.1334,0.4403,6,-0.0867,0.4775,6,0.9579,0.1051,9,113940004887.0,0.0964,10,1.25,0.7043,3,5.6626,0.6484,4,-0.27,0.1731,9,-0.02,0.1654,9,0.0739,0.2662,8,46.82,0.4447,6,0.5408,0.5805,5,0.009,0.3954,7
409,22,0.183,0.7601,3,0.9655,0.7963,3,0.9094,0.8105,2,0.0463,0.9398,1,16256197623.0,0.3746,7,0.85,0.908,1,14.3222,0.2848,8,2.18,0.5685,5,1.79,0.7218,3,0.1146,0.391,7,24.86,0.8182,2,1.8166,0.8215,2,0.0183,0.4272,6
281,14,0.3615,0.9058,1,0.7014,0.7437,3,0.5426,0.7317,3,0.8665,0.1347,9,35608293444.0,0.2103,8,0.6,0.9825,1,6.4417,0.5969,5,1.97,0.5225,5,1.04,0.5126,5,0.0542,0.1906,9,56.93,0.2596,8,1.2992,0.7558,3,0.0592,0.6079,4
479,25,-0.2074,0.0208,10,-0.5283,0.1742,9,-0.4578,0.1982,9,0.2207,0.782,3,951737207.0,0.9901,1,1.25,0.7076,3,1.2814,0.9715,1,-7.63,0.0153,10,-1.28,0.0537,10,0.0834,0.2968,8,77.75,0.0624,10,0.3432,0.5126,5,-0.1142,0.0526,10
276,17,-0.0716,0.1501,9,-0.6515,0.0909,10,-0.5997,0.1139,9,0.5931,0.3319,7,16796685716.0,0.3614,7,1.11,0.7864,3,4.0952,0.7689,3,1.98,0.5246,5,1.49,0.6517,4,0.1584,0.5455,5,27.95,0.7722,3,6.7075,0.9518,1,0.0361,0.5126,5
134,5,0.0962,0.5871,5,1.0074,0.8028,2,0.9995,0.8182,2,0.2528,0.7393,3,11449160000.0,0.4611,6,1.43,0.6276,4,4.6101,0.736,3,2.73,0.6517,4,1.54,0.6648,4,0.0466,0.1687,9,48.32,0.4107,6,0.2211,0.4677,6,0.1424,0.8379,2
483,25,0.0572,0.4973,6,-0.361,0.2859,8,-0.3716,0.2618,8,0.1507,0.8631,2,2973973900.0,0.8434,2,1.65,0.5378,5,0.8832,0.9847,1,1.45,0.4304,6,0.56,0.3691,7,0.1518,0.5181,5,67.39,0.1347,9,1.8386,0.8237,2,0.094,0.736,3
752,14,0.0152,0.3658,7,-0.2097,0.3965,7,-0.2171,0.3899,7,0.1018,0.9025,1,9127393981.0,0.529,5,2.12,0.3866,7,7.7678,0.5093,5,2.38,0.6079,4,1.72,0.7043,3,0.147,0.4973,6,32.77,0.7108,3,-0.4194,0.1643,9,-0.0575,0.1435,9
708,15,-0.1179,0.0876,10,-0.2361,0.3779,7,-0.1724,0.4239,6,0.5796,0.345,7,29697321395.0,0.2574,8,0.77,0.943,1,11.7079,0.3494,7,-3.19,0.0482,10,-2.33,0.0307,10,0.0574,0.2037,9,23.11,0.8445,2,-0.3013,0.2026,9,-0.0544,0.1512,9
484,14,0.0236,0.3932,7,-0.7304,0.0537,10,-0.7053,0.0537,10,0.5276,0.4129,6,1517097000.0,0.9529,1,1.21,0.7284,3,9.5364,0.4294,6,-0.06,0.1906,9,-0.04,0.1643,9,0.1975,0.6539,4,24.45,0.8226,2,0.9565,0.6933,4,0.0571,0.5958,5
645,6,0.1269,0.6605,4,-0.1226,0.4458,6,-0.1409,0.4392,6,0.3032,0.6824,4,2036152396.0,0.9168,1,1.18,0.7481,3,2.3638,0.92,1,3.59,0.7678,3,1.89,0.7338,3,0.165,0.5674,5,49.58,0.391,7,34.7083,0.9978,1,-0.0918,0.0821,10
869,26,0.0792,0.5444,5,-0.6753,0.0767,10,-0.667,0.0701,10,0.4568,0.494,6,2250804623.0,0.9025,1,2.67,0.2563,8,7.0245,0.563,5,2.2,0.5706,5,1.58,0.6769,4,0.1271,0.425,6,32.76,0.7119,3,2.204,0.8554,2,0.273,0.9398,1
282,13,0.3547,0.9003,2,5.0213,0.9529,1,3.4269,0.943,1,0.5327,0.3987,7,43863138136.0,0.1796,9,1.51,0.5882,5,1279.0697,0.011,10,-0.43,0.1522,9,-0.43,0.1095,9,0.145,0.4863,6,0.65,1.0,1,0.1767,0.4513,6,-0.0082,0.3012,8
592,15,-0.0632,0.1665,9,-0.5068,0.1829,9,-0.4635,0.1939,9,0.5472,0.3823,7,3500013989.0,0.8094,2,1.24,0.713,3,6.488,0.5926,5,0.87,0.3461,7,0.72,0.4162,6,0.2527,0.7809,3,22.09,0.8631,2,1.1765,0.7393,3,0.0509,0.5652,5
909,21,0.6378,0.9715,1,2.7013,0.8992,2,1.5823,0.862,2,0.5239,0.4195,6,11796572736.0,0.4524,6,1.24,0.7087,3,39.1556,0.0745,10,0.62,0.3012,8,0.28,0.2694,8,0.078,0.2782,8,55.96,0.2804,8,9.8613,0.966,1,-0.0085,0.2968,8
