,Yt.1M
767,-0.0427
694,0.0522
8,-0.0139
735,-0.0223
36,-0.0288
453,0.0452
254,0.0
304,0.0084
679,0.0732
572,0.0328
624,-0.0078
791,-0.0764
657,0.1752
263,-0.0476
611,0.0229
298,-0.0052
415,0.1215
151,0.0143
718,-0.0048
885,-0.0156
551,0.1106
721,-0.0087
489,0.1028
148,0.0224
147,0.014
658,0.0067
845,0.0083
673,0.0364
349,0.0599
464,-0.0354
326,0.1463
187,-0.0172
124,-0.0355
774,-0.0239
609,0.0619
144,0.1558
871,0.0594
198,-0.0453
610,-0.0196
280,0.1533
294,0.0596
401,0.2154
123,0.0074
184,0.0726
203,-0.0325
439,-0.0359
247,0.038
416,-0.0338
805,0.0035
130,-0.1071
638,0.4702
403,0.0192
714,0.0022
811,0.0
829,-0.0026
220,-0.1132
642,0.083
831,0.054
868,-0.0558
834,-0.1562
625,0.0057
762,0.0469
693,0.117
387,0.0215
884,-0.0409
510,-0.0651
268,0.1464
746,-0.0114
442,-0.0216
497,0.0816
113,-0.0274
692,-0.0267
233,-0.0766
790,-0.0041
608,-0.026
672,-0.0114
374,0.0119
893,0.0771
766,0.5782
234,-0.0279
715,-0.0152
677,-0.0214
318,0.1693
649,0.0213
411,-0.0559
815,0.0087
359,-0.0191
259,-0.0194
628,-0.0087
633,-0.0429
283,-0.007
377,0.064
385,0.2618
225,-0.0522
866,-0.0151
741,0.2288
473,-0.0972
348,0.0223
506,0.0
640,0.7089
899,0.0161
843,0.0769
821,0.446
620,-0.0075
837,0.022
646,0.0376
769,0.1281
557,0.1473
870,0.0327
578,0.1452
86,-0.0581
243,-0.0138
699,-0.0184
160,0.085
525,0.5213
35,-0.0919
541,-0.031
171,0.1494
655,0.0288
778,0.007
889,-0.0039
858,0.0197
734,0.0237
96,0.0365
564,-0.0048
241,-0.0147
743,-0.0118
575,0.0882
691,0.2072
461,0.0554
554,0.1032
796,0.1713
207,0.0225
393,0.0823
398,0.0768
771,0.0612
218,-0.1111
4,-0.0117
643,-0.0182
814,0.0
613,-0.0844
739,0.0281
547,0.0127
726,-0.0213
684,-0.0139
99,-0.1
728,-0.0044
574,0.374
407,-0.0061
503,0.0045
47,0.0289
32,-0.0284
201,-0.046
135,0.0319
27,-0.1152
798,0.131
231,-0.0156
490,0.0675
773,-0.0827
379,-0.0204
289,-0.0013
419,0.3501
675,0.1359
392,0.0509
593,0.0339
499,0.0193
139,0.0128
63,0.021
472,-0.0559
648,-0.0072
129,-0.0651
888,-0.0442
521,-0.0385
65,-0.0112
14,0.0
157,-0.0686
40,-0.0556
493,0.0475
380,0.0435
188,-0.0069
764,0.0109
217,-0.0359
792,0.1578
52,-0.0409
338,0.1062
749,0.0396
720,0.119
725,0.0561
296,0.0
702,-0.0244
252,0.1012
727,0.0
462,0.0159
456,0.0282
908,-0.0278
816,0.0185
270,0.215
202,0.0326
162,-0.0051
556,0.4708
730,0.1306
402,-0.0103
703,-0.0577
477,0.0205
822,-0.0416
772,-0.0173
106,-0.0306
566,0.089
390,0.0787
1,-0.0853
851,0.0083
562,0.0472
81,-0.0099
206,-0.0348
34,-0.0606
776,0.1623
509,0.0047
428,-0.0174
455,-0.0411
367,-0.0062
92,-0.0035
340,0.1269
565,0.068
346,0.012
777,0.1932
242,-0.0646
13,-0.0162
316,0.0231
601,0.1952
388,0.0936
274,0.0184
167,0.0163
841,0.2239
904,0.0796
647,0.0183
819,0.1
485,-0.0126
892,-0.0187
505,-0.0709
832,0.0542
244,0.0287
567,0.4682
563,0.2139
687,-0.0648
190,-0.0509
783,-0.0189
700,-0.0323
476,-0.0278
682,0.0373
511,0.0686
58,-0.0546
475,-0.003
561,0.4536
857,0.0493
748,0.0618
253,0.1314
21,-0.0069
314,0.0159
460,0.0211
161,-0.0037
277,0.0073
192,-0.0852
386,0.0251
806,-0.0435
414,0.0022
492,0.1917
344,0.1822
770,-0.0082
309,-0.0366
662,0.1436
131,0.0212
664,0.3176
872,0.028
100,0.1202
373,0.0489
88,-0.0074
459,0.0364
331,0.0019
215,-0.034
467,-0.016
122,-0.0063
615,0.1657
20,0.0689
701,-0.0247
72,0.0083
107,0.0689
271,0.1818
861,0.0132
436,-0.0435
103,0.201
