,Yt.1M,Code,Industry,MR,MR.PR,MR.Decile,TVC,TVC.PR,TVC.Decile,TRC,TRC.PR,TRC.Decile,BAB,BAB.PR,BAB.Decile,EV,EV.PR,EV.Decile,P/B,P/B.PR,P/B.Decile,PSR,PSR.PR,PSR.Decile,ROE,ROE.PR,ROE.Decile,ROA,ROA.PR,ROA.Decile,C/A,C/A.PR,C/A.Decile,D/A,D/A.PR,D/A.Decile,PG,PG.PR,PG.Decile,AG,AG.PR,AG.Decile
223,0.0024,2102 ®õÂ×,M2100 ¾ó½¦¤u·~,0.0946,0.5816,5,2.9568,0.908,1,2.6945,0.9211,1,0.3688,0.598,5,9584916442.0,0.5192,5,1.19,0.7404,3,174.8147,0.0197,10,-1.23,0.103,10,-0.51,0.1041,10,0.0771,0.276,8,48.21,0.414,6,0.8217,0.6703,4,0.4154,0.9715,1
224,-0.0403,2103 ¥x¾ó,M2100 ¾ó½¦¤u·~,0.0956,0.5838,5,0.6915,0.7415,3,0.612,0.7514,3,0.3504,0.6221,4,19871784044.0,0.322,7,0.96,0.8697,2,2.2722,0.9244,1,1.45,0.4337,6,0.97,0.494,6,0.1497,0.506,5,47.73,0.4283,6,0.0203,0.3582,7,0.1058,0.7744,3
225,-0.0522,2104 °ê»Ú¤¤¾ó,M2100 ¾ó½¦¤u·~,-0.0136,0.2749,8,-0.2292,0.3855,7,-0.2295,0.3834,7,0.3163,0.6681,4,17823678613.0,0.3494,7,0.5,0.9956,1,4.0295,0.7755,3,-0.7,0.1369,9,-0.16,0.1479,9,0.1369,0.46,6,39.49,0.5936,5,-12.492,0.0088,10,0.0284,0.4732,6
226,-0.0339,2105 ¥¿·s,M2100 ¾ó½¦¤u·~,0.1574,0.7218,3,0.0948,0.5685,5,0.0709,0.575,5,0.361,0.6068,4,163699588107.0,0.0657,10,1.97,0.4272,6,6.9151,0.575,5,2.63,0.6375,4,1.7,0.6988,4,0.1769,0.6024,5,41.68,0.5509,5,0.402,0.5301,5,-0.0207,0.2629,8
227,-0.03,2106 «Ø¤j,M2100 ¾ó½¦¤u·~,0.1686,0.7426,3,0.7512,0.7601,3,0.6137,0.7525,3,0.3594,0.609,4,32436753899.0,0.23,8,1.54,0.5717,5,3.926,0.7842,3,2.21,0.5717,5,1.21,0.5575,5,0.1723,0.5871,5,56.13,0.276,8,2.148,0.8532,2,-0.0032,0.333,7
228,-0.0056,2107 «p¥Í,M2100 ¾ó½¦¤u·~,0.1245,0.6528,4,1.9205,0.8642,2,1.678,0.8686,2,0.263,0.7295,3,7700494794.0,0.5794,5,0.57,0.9869,1,28.3779,0.115,9,0.85,0.3406,7,0.76,0.425,6,0.0474,0.1698,9,14.28,0.9365,1,1.1023,0.724,3,0.0815,0.6988,4
229,0.0642,2108 «n«Ò,M2100 ¾ó½¦¤u·~,-0.05,0.1862,9,0.1524,0.5926,5,0.187,0.6254,4,0.3312,0.6429,4,15842865862.0,0.3844,7,1.16,0.7536,3,7.2577,0.5498,5,1.11,0.3844,7,0.98,0.4984,6,0.5003,0.9836,1,12.55,0.9496,1,-0.4161,0.1676,9,0.0142,0.4107,6
230,0.067,2109 µØÂ×,M2100 ¾ó½¦¤u·~,0.2936,0.8631,2,0.1074,0.575,5,0.0416,0.5575,5,0.2692,0.724,3,4807850010.0,0.7317,3,1.44,0.621,4,4.2924,0.7525,3,3.98,0.7941,3,2.58,0.8412,2,0.3386,0.9036,1,38.12,0.6145,4,0.9557,0.6922,4,-0.023,0.2563,8
231,-0.0156,2114 øÊ¥Ã»Í,M2100 ¾ó½¦¤u·~,0.0142,0.3571,7,-0.1961,0.4031,7,-0.1971,0.402,7,0.097,0.9047,1,8006449260.0,0.5652,5,2.72,0.2432,8,23.8028,0.149,9,3.11,0.6955,4,2.55,0.8335,2,0.2153,0.701,4,17.71,0.9102,1,0.0335,0.3691,7,0.0523,0.5728,5
232,-0.0539,2201 ¸Î¶©,M2200 ¨T¨®¤u·~,0.0393,0.4458,6,0.6519,0.736,3,0.6201,0.7536,3,0.5159,0.425,6,74453362048.0,0.1249,9,1.18,0.747,3,3.6065,0.8094,2,1.81,0.4962,6,0.45,0.3319,7,0.0331,0.1194,9,76.38,0.0701,10,-0.2783,0.2114,8,0.056,0.5904,5
233,-0.0766,2204 ¤¤µØ,M2200 ¨T¨®¤u·~,0.1638,0.7327,3,0.1562,0.5958,5,0.0541,0.5641,5,0.7661,0.1982,9,71262508681.0,0.1303,9,2.11,0.3932,7,5.8147,0.6396,4,3.38,0.7459,3,2.56,0.8357,2,0.1048,0.3658,7,27.07,0.7897,3,-0.1543,0.2563,8,0.1028,0.7678,3
234,-0.0279,2206 ¤T¶§¤u·~,M2200 ¨T¨®¤u·~,0.1,0.5947,5,0.8499,0.7809,3,0.7275,0.782,3,0.2658,0.7262,3,59894499721.0,0.1468,9,2.49,0.2881,8,3.5615,0.8193,2,5.54,0.9102,1,2.45,0.8193,2,0.1359,0.4502,6,56.78,0.2607,8,0.0244,0.3647,7,0.0805,0.6966,4
235,0.0063,2207 ©M®õ¨®,M2200 ¨T¨®¤u·~,-0.0174,0.2629,8,0.0121,0.5301,5,0.0653,0.5706,5,0.3281,0.6506,4,336228957805.0,0.0307,10,5.45,0.0559,10,4.8502,0.7141,3,6.93,0.9551,1,1.68,0.6944,4,0.0429,0.1566,9,79.85,0.0559,10,0.1623,0.4447,6,0.1632,0.8598,2
236,-0.0789,2208 ¥x²î,M2600 ¯è¹B·~,0.0358,0.4348,6,-0.2664,0.3527,7,-0.2813,0.3472,7,0.3907,0.5685,5,23961341641.0,0.2892,8,2.11,0.3921,7,6.3997,0.6002,5,-3.82,0.0394,10,-0.77,0.0811,10,0.1381,0.4633,6,69.28,0.1183,9,0.7997,0.6648,4,-0.2017,0.0153,10
237,-0.0068,2211 ªøºa¿û,M2000 ¿ûÅK¤u·~,0.3886,0.9211,1,0.0418,0.5433,5,-0.123,0.4524,6,0.724,0.2278,8,58277061939.0,0.1512,9,2.05,0.4118,6,20.8401,0.172,9,2.0,0.5356,5,1.57,0.6747,4,0.0725,0.2618,8,23.08,0.8456,2,-0.009,0.3297,7,0.1696,0.8719,2
238,-0.0217,2227 ¸Î¤é¨®,M2200 ¨T¨®¤u·~,-0.1976,0.0252,10,-0.596,0.1325,9,-0.5473,0.1555,9,0.5937,0.3286,7,39640950000.0,0.1917,9,2.07,0.4053,6,5.2186,0.6933,4,3.27,0.7174,3,2.57,0.839,2,0.2958,0.8576,2,21.58,0.8719,2,0.5534,0.5849,5,-0.0387,0.2037,9
239,-0.0303,2228 ¼CÅï,M2200 ¨T¨®¤u·~,0.3128,0.8751,2,1.3825,0.8324,2,1.0853,0.8313,2,0.4957,0.4502,6,8624505651.0,0.5411,5,1.61,0.5509,5,6.9386,0.5717,5,5.83,0.9179,1,4.27,0.9704,1,0.2934,0.8565,2,25.67,0.8127,2,1.7967,0.8204,2,0.0844,0.7152,3
240,0.1991,2231 ¬°¤É,M2200 ¨T¨®¤u·~,-0.1692,0.0405,10,-0.0169,0.5115,5,0.0849,0.5838,5,0.1551,0.8543,2,14865173000.0,0.3932,7,3.87,0.1249,9,13.9882,0.2903,8,2.44,0.6145,4,1.37,0.6156,4,0.1216,0.4107,6,48.86,0.402,7,-0.2266,0.2234,8,0.0731,0.6703,4
241,-0.0147,2233 ¦t¶©,M2200 ¨T¨®¤u·~,-0.0289,0.2344,8,-0.5999,0.126,9,-0.5786,0.1271,9,0.5895,0.3352,7,7781932269.0,0.5761,5,2.07,0.4042,6,8.9922,0.4524,6,4.04,0.7963,3,2.83,0.8762,2,0.2391,0.7547,3,30.39,0.7492,3,0.5374,0.5783,5,0.1158,0.7941,3
242,-0.0646,2241 ¦ã©i°Ç,M2200 ¨T¨®¤u·~,0.5311,0.9551,1,2.3012,0.8784,2,1.6023,0.8653,2,0.5935,0.3297,7,5156893686.0,0.7076,3,2.66,0.2574,8,27.868,0.1183,9,-2.33,0.0679,10,-1.32,0.0504,10,0.0572,0.2026,9,37.39,0.6309,4,0.5113,0.5717,5,-0.0371,0.2092,8
243,-0.0138,2247 ¦Æ¼w¥Ã·~,M2200 ¨T¨®¤u·~,0.1162,0.632,4,-0.1159,0.4502,6,-0.1486,0.4337,6,0.319,0.6648,4,24887426233.0,0.2859,8,2.17,0.3691,7,1.8478,0.9441,1,3.43,0.7525,3,1.91,0.7393,3,0.3027,0.8697,2,48.0,0.4184,6,0.0386,0.3746,7,0.0311,0.494,6
244,0.0287,2301 ¥úÄ_¬ì,M2325 ¹q¸£¤Î¶gÃä,-0.0164,0.2673,8,-0.4404,0.2169,8,-0.3697,0.2651,8,0.7436,0.2125,8,235017698370.0,0.0515,10,2.85,0.2245,8,8.1674,0.4918,6,2.83,0.6637,4,1.42,0.6232,4,0.4579,0.9715,1,54.57,0.3089,7,0.0148,0.3494,7,0.0056,0.3735,7
245,0.0225,2302 ÄR¥¿,M2324 ¥b¾ÉÅé,-0.0303,0.2278,8,-0.7057,0.0646,10,-0.6739,0.0668,10,0.4019,0.5608,5,2878403525.0,0.8499,2,1.66,0.5323,5,19.7236,0.1873,9,1.04,0.3724,7,0.78,0.4348,6,0.2448,0.7667,3,25.93,0.8083,2,0.7232,0.6451,4,0.1063,0.7766,3
246,0.0806,2303 Áp¹q,M2324 ¥b¾ÉÅé,0.0528,0.4808,6,-0.3239,0.3165,7,-0.3215,0.3056,7,0.7363,0.2202,8,616110581751.0,0.0142,10,1.73,0.5038,5,11.2774,0.3625,7,2.83,0.6659,4,1.91,0.7382,3,0.2106,0.6846,4,33.3,0.7032,3,-0.3539,0.1873,9,0.0317,0.4984,6
247,0.038,2305 ¥þ¤Í,M2325 ¹q¸£¤Î¶gÃä,-0.0675,0.1555,9,-0.7995,0.0186,10,-0.7649,0.0186,10,0.3346,0.6396,4,4545104277.0,0.7426,3,2.25,0.3417,7,26.1741,0.1281,9,1.48,0.4425,6,1.18,0.5444,5,0.1659,0.5685,5,21.83,0.8675,2,4.4722,0.9332,1,0.0073,0.3834,7
248,0.0978,2308 ¥x¹F¹q,M2328 ¹q¤l¹s²Õ¥ó,0.1213,0.6418,4,-0.3209,0.3187,7,-0.3098,0.3176,7,1.1878,0.0471,10,813479917464.0,0.0099,10,4.2,0.1106,9,8.9102,0.4567,6,2.79,0.6583,4,1.56,0.6725,4,0.2059,0.6747,4,45.62,0.471,6,-0.1656,0.2508,8,0.1067,0.7777,3
249,0.1254,2312 ª÷Ä_,M2331 ¨ä¥L¹q¤l·~,0.0596,0.5027,6,-0.097,0.4655,6,-0.0831,0.4819,6,0.6687,0.2683,8,23680804866.0,0.2913,8,1.06,0.8138,2,0.7195,0.9967,1,1.7,0.4754,6,0.83,0.448,6,0.1399,0.4688,6,68.83,0.1271,9,0.7644,0.6572,4,-0.0678,0.1249,9
250,0.0167,2313 µØ³q,M2328 ¹q¤l¹s²Õ¥ó,0.0014,0.3154,7,-0.5319,0.1698,9,-0.5262,0.1621,9,0.8361,0.1533,9,83001961280.0,0.1194,9,2.43,0.2979,8,5.3354,0.6824,4,2.53,0.6243,4,1.36,0.6123,4,0.1498,0.5071,5,51.19,0.3625,7,1.7754,0.8182,2,0.0856,0.7174,3
251,0.1161,2314 ¥x´­,M2327 ³q«Hºô¸ô·~,-0.0866,0.1194,9,-0.388,0.2705,8,-0.3543,0.2826,8,0.6968,0.2486,8,7573451016.0,0.586,5,4.96,0.0789,10,17.5704,0.2158,8,-9.96,0.0088,10,-3.09,0.0164,10,0.1946,0.6517,4,66.49,0.1424,9,-1.8689,0.0504,10,-0.1775,0.023,10
252,0.1012,2316 ·£±ê¹q,M2328 ¹q¤l¹s²Õ¥ó,0.2757,0.8456,2,0.3636,0.6659,4,0.2406,0.6462,4,1.0914,0.0668,10,8086506281.0,0.5597,5,0.86,0.9025,1,9.9931,0.4096,6,1.99,0.529,5,1.33,0.6024,5,0.1479,0.5038,5,36.96,0.6375,4,6.0243,0.9463,1,0.0947,0.7404,3
253,0.1314,2317 ÂE®ü,M2331 ¨ä¥L¹q¤l·~,0.6881,0.977,1,0.0476,0.5476,5,-0.1355,0.4447,6,1.2759,0.0329,10,2309321802747.0,0.0033,10,1.4,0.6407,4,1.7466,0.9518,1,1.47,0.437,6,0.87,0.4622,6,0.3083,0.8729,2,55.19,0.2946,8,0.7161,0.6396,4,0.0312,0.4951,6
254,0.0,2321 ªF°T,M2327 ³q«Hºô¸ô·~,0.0461,0.4589,6,0.8933,0.7864,3,0.8986,0.8094,2,0.2416,0.7547,3,481323671.0,0.9978,1,1.16,0.7547,3,2.94,0.8708,2,-1.64,0.0876,10,-0.3,0.1292,9,0.1152,0.3932,7,66.48,0.1435,9,0.5503,0.5827,5,-0.2176,0.012,10
255,-0.004,2323 ¤¤Àô,M2326 ¥ú¹q·~,0.1745,0.7492,3,0.3879,0.678,4,0.2748,0.6648,4,0.4785,0.4677,6,12847447376.0,0.4283,6,0.72,0.9606,1,6.9834,0.5674,5,-1.46,0.092,10,-0.99,0.0745,10,0.0968,0.345,7,26.23,0.8018,3,-1.3962,0.0657,10,0.0692,0.6572,4
256,-0.0364,2324 ¤¯Ä_,M2325 ¹q¸£¤Î¶gÃä,0.054,0.4885,6,-0.4377,0.2191,8,-0.4168,0.2223,8,0.5873,0.3363,7,154902830290.0,0.0679,10,1.33,0.6692,4,0.7762,0.9956,1,1.73,0.4808,6,0.71,0.4118,6,0.1907,0.6396,4,70.01,0.1106,9,0.3571,0.517,5,-0.0108,0.2924,8
257,0.0943,2327 °ê¥¨,M2328 ¹q¤l¹s²Õ¥ó,0.1434,0.6988,4,0.305,0.6418,4,0.1854,0.6232,4,0.5055,0.4381,6,266389552718.0,0.0416,10,1.83,0.4743,6,9.3455,0.4359,6,3.37,0.7415,3,1.53,0.6616,4,0.1377,0.4622,6,59.6,0.2103,8,0.1155,0.4283,6,0.1975,0.8959,2
258,0.1429,2328 ¼s¦t,M2328 ¹q¤l¹s²Õ¥ó,0.0809,0.5487,5,-0.3496,0.2935,8,-0.3394,0.2924,8,0.5575,0.3746,7,17364807786.0,0.356,7,1.42,0.6298,4,3.7338,0.7974,3,1.3,0.4129,6,0.87,0.4611,6,0.2748,0.8346,2,36.76,0.6429,4,-0.4281,0.1621,9,-0.0198,0.2662,8
259,-0.0194,2329 µØ®õ,M2324 ¥b¾ÉÅé,-0.1605,0.0515,10,-0.6908,0.0712,10,-0.6494,0.0756,10,1.0485,0.08,10,48126547899.0,0.1698,9,3.29,0.172,9,11.5245,0.3549,7,4.47,0.8346,2,2.67,0.8499,2,0.2223,0.7207,3,42.51,0.529,5,1.7785,0.8193,2,0.1895,0.8883,2
260,0.0863,2330 ¥x¿n¹q,M2324 ¥b¾ÉÅé,0.2094,0.7919,3,-0.1033,0.46,6,-0.1564,0.4304,6,1.662,0.0044,10,21394800557809.0,0.0022,10,5.56,0.0504,10,36.1006,0.0811,10,6.3,0.9365,1,4.02,0.9628,1,0.2934,0.8554,2,36.67,0.6451,4,0.0894,0.4096,6,0.1471,0.8434,2
261,0.0132,2331 ºë­^,M2325 ¹q¸£¤Î¶gÃä,0.1334,0.6846,4,0.2895,0.6375,4,0.2515,0.6528,4,1.0114,0.0931,10,18086722986.0,0.3461,7,1.4,0.6386,4,5.2286,0.6922,4,0.34,0.2508,8,0.2,0.2377,8,0.1553,0.5279,5,48.4,0.4074,6,6.8833,0.9529,1,0.1018,0.7667,3
262,0.0295,2332 ¤Í°T,M2327 ³q«Hºô¸ô·~,-0.0799,0.1336,9,-0.5051,0.1862,9,-0.4674,0.1928,9,0.5515,0.3801,7,10444279307.0,0.4918,6,1.27,0.6933,4,2.931,0.8729,2,-0.39,0.1577,9,-0.23,0.1391,9,0.2455,0.77,3,31.62,0.7306,3,-1.3803,0.0668,10,0.0791,0.69,4
263,-0.0476,2337 ©ô§»,M2324 ¥b¾ÉÅé,-0.0508,0.1807,9,0.2253,0.6188,4,0.2624,0.6583,4,0.4642,0.4874,6,49376860620.0,0.1665,9,1.04,0.8204,2,8.5717,0.4765,6,-2.24,0.069,10,-1.31,0.0515,10,0.1376,0.4611,6,38.61,0.6101,4,-2.0378,0.0427,10,-0.0473,0.172,9
264,0.0565,2338 ¥ú¸n,M2324 ¥b¾ÉÅé,-0.0172,0.264,8,0.7069,0.7459,3,0.6845,0.7733,3,0.9245,0.1095,9,17159329331.0,0.3593,7,3.2,0.1818,9,9.2751,0.4436,6,11.42,0.9923,1,3.03,0.897,2,0.0697,0.253,8,76.14,0.0734,10,2.2406,0.8576,2,0.1551,0.851,2
265,0.0488,2340 ¥x¨È,M2324 ¥b¾ÉÅé,-0.1218,0.0767,10,-0.3482,0.2946,8,-0.3093,0.3187,7,0.7733,0.1906,9,16409275429.0,0.3735,7,2.09,0.3976,7,17.1405,0.2234,8,-0.45,0.1501,9,-0.24,0.1336,9,0.2113,0.6867,4,36.89,0.6386,4,-1.5084,0.0602,10,0.2549,0.931,1
266,0.0203,2342 ­Zª¿,M2324 ¥b¾ÉÅé,-0.0047,0.299,8,-0.6008,0.1249,9,-0.5674,0.1358,9,0.6075,0.3154,7,4997187872.0,0.7141,3,2.15,0.3724,7,14.2144,0.287,8,-0.42,0.1555,9,-0.24,0.1358,9,0.441,0.965,1,30.07,0.7536,3,0.7886,0.6627,4,-0.1254,0.0482,10
267,-0.0446,2344 µØ¨¹¹q,M2324 ¥b¾ÉÅé,-0.0323,0.2223,8,-0.1334,0.4403,6,-0.0867,0.4775,6,0.9579,0.1051,9,113940004887.0,0.0964,10,1.25,0.7043,3,5.6626,0.6484,4,-0.27,0.1731,9,-0.02,0.1654,9,0.0739,0.2662,8,46.82,0.4447,6,0.5408,0.5805,5,0.009,0.3954,7
268,0.1464,2345 ´¼¨¹,M2327 ³q«Hºô¸ô·~,-0.1289,0.0679,10,-0.1947,0.4042,6,-0.1089,0.4589,6,1.0409,0.0821,10,258279201282.0,0.0438,10,8.56,0.0142,10,13.7035,0.2957,8,8.08,0.9748,1,3.72,0.9518,1,0.2113,0.6857,4,53.37,0.3297,7,0.1013,0.4195,6,0.4132,0.9693,1
269,-0.0428,2347 Áp±j,M2329 ¹q¤l³q¸ô·~,0.1849,0.7645,3,0.1313,0.5871,5,0.1047,0.5904,5,0.2631,0.7284,3,139142971580.0,0.0821,10,1.87,0.46,6,1.3386,0.9671,1,3.12,0.6966,4,1.27,0.5805,5,0.1163,0.3965,7,65.37,0.1501,9,0.2687,0.4896,6,0.0281,0.4721,6
270,0.215,2348 ®ü®®,M9900 ¨ä¥L,0.9335,0.9901,1,4.5884,0.9485,1,2.5744,0.9168,1,0.5257,0.4162,6,26410349214.0,0.2727,8,1.87,0.4589,6,11.5942,0.3516,7,10.75,0.9901,1,3.24,0.9179,1,0.1625,0.5586,5,69.76,0.1139,9,29.227,0.9923,1,0.1657,0.8631,2
271,0.1818,2349 ëä¼w,M2326 ¥ú¹q·~,-0.0316,0.2245,8,0.3858,0.6769,4,0.4365,0.7087,3,0.5156,0.4261,6,5313586219.0,0.6944,4,0.98,0.8576,2,2.8224,0.8839,2,0.8,0.333,7,0.6,0.379,7,0.2233,0.7229,3,45.84,0.4622,6,1.1629,0.7338,3,-0.0079,0.3045,7
272,0.1732,2351 ¶¶¼w,M2324 ¥b¾ÉÅé,0.133,0.6802,4,1.5307,0.8423,2,1.4148,0.8576,2,1.0367,0.0854,10,20488483045.0,0.3122,7,2.52,0.2793,8,8.593,0.4743,6,2.43,0.6123,4,1.54,0.667,4,0.0828,0.2946,8,40.27,0.5761,5,-0.2579,0.2212,8,-0.0397,0.1972,9
273,-0.0381,2352 ¨Î¥@¹F,M2325 ¹q¸£¤Î¶gÃä,-0.1754,0.0394,10,-0.5571,0.1512,9,-0.5282,0.1588,9,0.4035,0.5575,5,73250694192.0,0.1281,9,2.41,0.3012,8,1.5614,0.9617,1,0.62,0.3023,8,0.38,0.3089,7,0.1521,0.5225,5,67.57,0.1336,9,-0.207,0.2311,8,-0.043,0.1851,9
274,0.0184,2353 §»ùÖ,M2325 ¹q¸£¤Î¶gÃä,0.0446,0.4535,6,-0.0402,0.4973,6,-0.0529,0.5071,5,0.7348,0.2212,8,141715754655.0,0.0756,10,1.93,0.4381,6,2.409,0.9157,1,1.73,0.4797,6,0.68,0.4009,7,0.2042,0.6725,4,63.71,0.1665,9,1.3342,0.7667,3,0.1664,0.8642,2
275,0.1337,2354 ÂE·Ç,M2331 ¨ä¥L¹q¤l·~,0.2166,0.7996,3,-0.3243,0.3154,7,-0.3428,0.2913,8,0.7576,0.207,8,83199170302.0,0.1183,9,0.85,0.9091,1,9.4116,0.4337,6,0.78,0.3286,7,0.66,0.3943,7,0.2382,0.7492,3,20.44,0.8817,2,0.1102,0.425,6,-0.0591,0.1413,9
276,0.0317,2355 ·qÄP,M2328 ¹q¤l¹s²Õ¥ó,-0.0716,0.1501,9,-0.6515,0.0909,10,-0.5997,0.1139,9,0.5931,0.3319,7,16796685716.0,0.3614,7,1.11,0.7864,3,4.0952,0.7689,3,1.98,0.5246,5,1.49,0.6517,4,0.1584,0.5455,5,27.95,0.7722,3,6.7075,0.9518,1,0.0361,0.5126,5
277,0.0073,2356 ­^·~¹F,M2325 ¹q¸£¤Î¶gÃä,-0.0603,0.1687,9,-0.475,0.2026,9,-0.4573,0.1993,9,0.9073,0.1161,9,190372234357.0,0.0591,10,3.58,0.149,9,1.4587,0.9639,1,1.82,0.4973,6,0.82,0.4458,6,0.1563,0.5334,5,76.57,0.069,10,0.2369,0.4754,6,0.0929,0.7338,3
278,-0.0228,2357 µØºÓ,M2325 ¹q¸£¤Î¶gÃä,0.0733,0.529,5,0.0847,0.563,5,0.0502,0.5608,5,0.6205,0.3056,7,357061504426.0,0.0285,10,1.23,0.7163,3,2.9339,0.8719,2,2.31,0.5904,5,1.29,0.5838,5,0.1437,0.4808,6,44.27,0.5005,6,4.2382,0.9266,1,0.0807,0.6977,4
279,0.3038,2359 ©ÒÃ¹ªù,M2331 ¨ä¥L¹q¤l·~,2.4861,1.0,1,2.7813,0.9047,1,1.0093,0.8204,2,1.1709,0.0526,10,21295195713.0,0.3067,7,2.43,0.2946,8,26.9368,0.1216,9,0.7,0.3187,7,0.48,0.3472,7,0.1917,0.6418,4,40.35,0.575,5,-0.0536,0.3001,8,0.0716,0.667,4
280,0.1533,2360 ­P­Z,M2331 ¨ä¥L¹q¤l·~,0.2131,0.7952,3,-0.5979,0.1303,9,-0.601,0.1117,9,1.1278,0.0591,10,104159921991.0,0.1041,10,5.32,0.0635,10,23.5759,0.1501,9,4.49,0.8379,2,2.89,0.8861,2,0.1361,0.4535,6,39.68,0.5849,5,0.0194,0.356,7,0.0617,0.6221,4
281,-0.0773,2362 ÂÅ¤Ñ,M2325 ¹q¸£¤Î¶gÃä,0.3615,0.9058,1,0.7014,0.7437,3,0.5426,0.7317,3,0.8665,0.1347,9,35608293444.0,0.2103,8,0.6,0.9825,1,6.4417,0.5969,5,1.97,0.5225,5,1.04,0.5126,5,0.0542,0.1906,9,56.93,0.2596,8,1.2992,0.7558,3,0.0592,0.6079,4
282,-0.0352,2363 ª¿²Î,M2324 ¥b¾ÉÅé,0.3547,0.9003,2,5.0213,0.9529,1,3.4269,0.943,1,0.5327,0.3987,7,43863138136.0,0.1796,9,1.51,0.5882,5,1279.0697,0.011,10,-0.43,0.1522,9,-0.43,0.1095,9,0.145,0.4863,6,0.65,1.0,1,0.1767,0.4513,6,-0.0082,0.3012,8
283,-0.007,2364 ­Û­¸,M2325 ¹q¸£¤Î¶gÃä,-0.1657,0.0427,10,-0.6509,0.0931,10,-0.6048,0.1084,9,0.8796,0.1303,9,2637850030.0,0.8653,2,5.82,0.046,10,10.4608,0.391,7,6.31,0.9376,1,2.31,0.7996,3,0.2701,0.8237,2,66.22,0.1468,9,0.5081,0.5706,5,0.1161,0.7952,3
284,0.3758,2365 ©ø¬Õ,M2325 ¹q¸£¤Î¶gÃä,0.0161,0.368,7,-0.5531,0.1544,9,-0.5178,0.1665,9,0.8737,0.1314,9,4883950140.0,0.7218,3,1.51,0.5893,5,21.8374,0.1654,9,1.14,0.3943,7,1.02,0.5082,5,0.2371,0.747,3,15.45,0.9288,1,0.8737,0.6791,4,0.0543,0.5838,5
285,0.0141,2367 ïúµØ,M2328 ¹q¤l¹s²Õ¥ó,0.8421,0.988,1,0.2478,0.6232,4,0.0626,0.5685,5,1.4904,0.0153,10,24540735227.0,0.287,8,1.73,0.506,5,5.8945,0.6331,4,2.74,0.6528,4,1.45,0.6298,4,0.0384,0.1358,9,55.08,0.2968,8,1.6973,0.8116,2,-0.008,0.3023,8
286,-0.0702,2368 ª÷¹³¹q,M2328 ¹q¤l¹s²Õ¥ó,-0.2839,0.0099,10,-0.3967,0.2552,8,-0.2598,0.3614,7,0.9697,0.1019,10,94480303185.0,0.1095,9,7.25,0.0263,10,10.4728,0.3899,7,7.27,0.965,1,3.67,0.9485,1,0.2391,0.7558,3,52.45,0.3461,7,1.8289,0.8226,2,0.2381,0.9211,1
287,0.0254,2369 µÙ¥Í,M2324 ¥b¾ÉÅé,-0.1644,0.0449,10,-0.8651,0.0066,10,-0.8399,0.0077,10,0.7809,0.1851,9,7998151533.0,0.5674,5,1.69,0.5203,5,5.9036,0.6298,4,-0.83,0.1249,9,-0.54,0.0986,10,0.1405,0.471,6,27.98,0.7711,3,0.0104,0.3439,7,-0.0906,0.0843,10
288,-0.0479,2371 ¤j¦P,M1500 ¹q¾÷¾÷±ñ,0.2916,0.8576,2,2.2068,0.8762,2,1.5996,0.8642,2,0.1524,0.8576,2,139904293763.0,0.0811,10,2.46,0.2903,8,12.9297,0.3187,7,0.94,0.3516,7,0.57,0.3713,7,0.0908,0.3242,7,53.81,0.3198,7,0.4151,0.5323,5,0.0363,0.5137,5
289,-0.0013,2373 ¾_¥¹¦æ,M2331 ¨ä¥L¹q¤l·~,0.0041,0.3275,7,-0.305,0.3319,7,-0.3064,0.3231,7,0.1147,0.8938,2,16615359065.0,0.3669,7,2.59,0.2662,8,6.169,0.609,4,2.35,0.5991,5,1.19,0.5476,5,0.1306,0.4315,6,55.59,0.2848,8,-0.0496,0.3023,8,-0.0169,0.2727,8
290,0.0247,2374 ¨Î¯à,M2326 ¥ú¹q·~,1.1245,0.9978,1,12.9953,0.988,1,8.0283,0.9869,1,0.7842,0.1829,9,14569636850.0,0.3965,7,1.15,0.7579,3,11.5652,0.3538,7,2.16,0.5641,5,1.64,0.6867,4,0.2836,0.8456,2,24.85,0.8193,2,3.2912,0.9058,1,0.0817,0.701,4
291,0.0843,2375 ³Í¬ü,M2328 ¹q¤l¹s²Õ¥ó,0.0249,0.4031,7,0.6946,0.7426,3,0.6595,0.7689,3,0.6885,0.2541,8,7068091578.0,0.6123,4,0.73,0.9562,1,6.063,0.6177,4,0.89,0.3472,7,0.64,0.3877,7,0.0945,0.3395,7,38.21,0.6134,4,5.7666,0.9441,1,-0.1937,0.0186,10
292,0.0,2376 §Þ¹Å,M2325 ¹q¸£¤Î¶gÃä,-0.1606,0.0504,10,-0.4836,0.1982,9,-0.4387,0.2092,8,0.8507,0.1457,9,203287696812.0,0.0537,10,5.06,0.0734,10,3.6859,0.8018,3,5.31,0.9014,2,2.2,0.782,3,0.1569,0.5345,5,63.75,0.1654,9,0.975,0.6955,4,0.6793,0.9945,1
293,0.0497,2377 ·L¬P,M2325 ¹q¸£¤Î¶gÃä,-0.1244,0.0734,10,-0.3188,0.322,7,-0.2414,0.3735,7,1.0773,0.0734,10,138374941524.0,0.0843,10,2.96,0.2114,8,2.9054,0.8762,2,5.06,0.8795,2,2.69,0.8532,2,0.2147,0.6999,4,49.06,0.3987,7,0.0112,0.345,7,0.0135,0.4053,6
