,Yt.1M,Code,Industry,MR,MR.PR,MR.Decile,TVC,TVC.PR,TVC.Decile,TRC,TRC.PR,TRC.Decile,BAB,BAB.PR,BAB.Decile,EV,EV.PR,EV.Decile,P/B,P/B.PR,P/B.Decile,PSR,PSR.PR,PSR.Decile,ROE,ROE.PR,ROE.Decile,ROA,ROA.PR,ROA.Decile,C/A,C/A.PR,C/A.Decile,D/A,D/A.PR,D/A.Decile,PG,PG.PR,PG.Decile,AG,AG.PR,AG.Decile
20,0.0689,1231 ÁpµØ­¹,M1200 ­¹«~¤u·~,0.1237,0.6462,4,-0.3752,0.2793,8,-0.4049,0.2355,8,0.1672,0.8401,2,23866698928.0,0.2903,8,3.94,0.1205,9,8.2144,0.4874,6,4.89,0.8675,2,2.24,0.7875,3,0.0693,0.2508,8,55.52,0.2881,8,0.2468,0.4808,6,0.2416,0.9233,1
21,-0.0069,1232 ¤j²Î¯q,M1200 ­¹«~¤u·~,0.0284,0.4118,6,-0.1141,0.4513,6,-0.1191,0.4545,6,0.0498,0.9387,1,22158413431.0,0.299,8,4.14,0.1139,9,3.9383,0.7831,3,5.17,0.8894,2,3.63,0.9441,1,0.341,0.9069,1,29.63,0.7558,3,-0.1868,0.2388,8,0.0974,0.7492,3
22,-0.0044,1233 ¤Ñ¤¯,M1200 ­¹«~¤u·~,-0.0202,0.2563,8,-0.376,0.2782,8,-0.3699,0.264,8,0.0582,0.9321,1,2999426925.0,0.8412,2,2.23,0.3549,7,5.1608,0.6966,4,2.31,0.5915,5,1.47,0.6418,4,0.0864,0.3078,7,40.39,0.5739,5,0.0563,0.3855,7,0.0382,0.5192,5
23,0.0023,1234 ¶ÂªQ,M1200 ­¹«~¤u·~,0.0842,0.5597,5,0.0262,0.5367,5,-0.01,0.5323,5,0.2038,0.8061,2,16602822003.0,0.3691,7,0.92,0.8817,2,6.2904,0.6024,5,0.95,0.3527,7,0.78,0.4315,6,0.0607,0.218,8,21.65,0.8697,2,-0.0805,0.2913,8,0.0259,0.4589,6
24,0.0897,1235 ¿³®õ,M1200 ­¹«~¤u·~,0.0145,0.3593,7,-0.5915,0.1369,9,-0.5941,0.1194,9,-0.0131,0.965,1,12537628883.0,0.4359,6,5.32,0.0624,10,726.3559,0.0131,10,1.75,0.4852,6,1.0,0.5016,6,0.0076,0.0153,10,48.27,0.4129,6,0.0146,0.3472,7,0.3772,0.9617,1
25,-0.0123,1236 §»¨È,M1200 ­¹«~¤u·~,0.019,0.3779,7,-0.1438,0.4359,6,-0.1422,0.437,6,-0.0125,0.9639,1,2035495741.0,0.9179,1,0.89,0.8927,2,3.5486,0.8226,2,0.34,0.253,8,0.3,0.2826,8,0.0386,0.138,9,35.36,0.667,4,1.4676,0.7853,3,-0.0863,0.0887,10
26,-0.1134,1301 ¥x¶ì,M1300 ¶ì½¦¤u·~,-0.0594,0.1709,9,-0.0235,0.5071,5,-0.0172,0.5257,5,0.2545,0.736,3,426306021215.0,0.0197,10,1.3,0.6769,4,8.8613,0.4589,6,0.06,0.2092,8,0.15,0.2114,8,0.0133,0.0383,10,36.5,0.6484,4,-0.9057,0.0975,10,0.0113,0.3976,7
27,-0.1152,1303 «n¨È,M1300 ¶ì½¦¤u·~,-0.0719,0.149,9,-0.2172,0.3921,7,-0.221,0.3888,7,0.473,0.4754,6,444022115221.0,0.0175,10,1.22,0.7218,3,7.5733,0.5257,5,0.31,0.2421,8,0.31,0.2859,8,0.1227,0.4162,6,41.86,0.5476,5,0.4334,0.5389,5,-0.0281,0.2355,8
28,-0.0703,1304 ¥x»E,M1300 ¶ì½¦¤u·~,-0.1025,0.1008,10,0.7703,0.7678,3,0.859,0.8007,3,0.3606,0.6079,4,18848201922.0,0.333,7,0.82,0.92,1,1.5675,0.9606,1,-2.06,0.0778,10,-1.24,0.0581,10,0.1363,0.4556,6,36.4,0.6506,4,-3.0809,0.0318,10,-0.039,0.2026,9
29,-0.0847,1305 µØ®L,M1300 ¶ì½¦¤u·~,-0.1007,0.103,10,0.1162,0.5794,5,0.1694,0.6156,4,0.3709,0.5936,5,10430379313.0,0.4929,6,1.11,0.7875,3,3.5911,0.8116,2,-0.41,0.1566,9,-0.14,0.1512,9,0.0811,0.2892,8,44.0,0.5038,5,-1.1363,0.0756,10,0.0649,0.6331,4
30,-0.0799,1307 ¤TªÚ,M1300 ¶ì½¦¤u·~,0.2925,0.862,2,0.9466,0.793,3,0.706,0.7788,3,0.1654,0.8423,2,12828520673.0,0.4294,6,1.29,0.6824,4,4.9263,0.7054,3,4.6,0.851,2,2.67,0.8521,2,0.3001,0.8664,2,45.01,0.483,6,1.622,0.8039,2,0.0642,0.6276,4
31,-0.0851,1308 ¨È»E,M1300 ¶ì½¦¤u·~,-0.1523,0.057,10,-0.01,0.517,5,0.0718,0.5761,5,0.3802,0.5816,5,10820389180.0,0.4786,6,0.88,0.8938,2,6.9307,0.5728,5,-1.43,0.0942,10,-1.26,0.0548,10,0.0794,0.2826,8,10.56,0.965,1,-6.4704,0.0175,10,-0.1329,0.0427,10
32,-0.0284,1309 ¥x¹F¤Æ,M1300 ¶ì½¦¤u·~,-0.0368,0.2125,8,-0.1344,0.4392,6,-0.0977,0.4688,6,0.362,0.6057,4,6144307149.0,0.6495,4,0.94,0.8762,2,1.6208,0.9595,1,-1.54,0.0898,10,-1.07,0.0712,10,0.2169,0.7065,3,28.85,0.7623,3,-0.4163,0.1665,9,-0.0008,0.3428,7
33,-0.0571,1310 ¥x­f,M1300 ¶ì½¦¤u·~,-0.0106,0.2859,8,0.1164,0.5805,5,0.1592,0.6101,4,0.2044,0.8039,2,7390176696.0,0.5958,5,1.01,0.8412,2,3.3242,0.839,2,-0.47,0.1479,9,-0.3,0.1271,9,0.081,0.2881,8,24.03,0.8302,2,-17.0776,0.0055,10,0.0555,0.586,5
34,-0.0606,1312 °ê³ì,M1300 ¶ì½¦¤u·~,0.0421,0.4502,6,0.3415,0.6561,4,0.3356,0.6846,4,0.4738,0.4732,6,16730311871.0,0.3636,7,0.44,1.0,1,5.1397,0.6977,4,-1.31,0.0986,10,-0.71,0.0854,10,0.0733,0.264,8,41.68,0.5498,5,-2.5128,0.0372,10,0.0339,0.506,5
35,-0.0919,1313 Áp¦¨,M1300 ¶ì½¦¤u·~,-0.0925,0.1106,9,-0.1465,0.4315,6,-0.118,0.4556,6,0.3163,0.667,4,18469074695.0,0.3406,7,0.58,0.9858,1,1.0416,0.9792,1,-2.56,0.0581,10,-1.16,0.0635,10,0.0558,0.195,9,49.6,0.3899,7,-25.0855,0.0044,10,0.1679,0.8686,2
